subassembly,fabrication_class,part_id,path
600,SML_316L,RVX1_600_18B,mechanical/RVX1/600/FABRICATION/SML_316L/RVX1_600_18B.step.STEP
600,SML_316L,RVX1_600_26B,mechanical/RVX1/600/FABRICATION/SML_316L/RVX1_600_26B.step.STEP
600,MJF_PA12,RVX1_600_03C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_03C.step.STEP
600,MJF_PA12,RVX1_600_04C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_04C.step.STEP
600,MJF_PA12,RVX1_600_10C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_10C.step.STEP
600,MJF_PA12,RVX1_600_13C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_13C.step.STEP
600,MJF_PA12,RVX1_600_14C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_14C.step.STEP
600,MJF_PA12,RVX1_600_37C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_37C.step.STEP
600,MJF_PA12,RVX1_600_38C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_38C.step.STEP
600,MJF_PA12,RVX1_600_39C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_39C.step.STEP
600,MJF_PA12,RVX1_600_40C,mechanical/RVX1/600/FABRICATION/MJF_PA12/RVX1_600_40C.step.STEP
600,OFF_THE_SHELF,RVX1_600_02X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_02X.step.STEP
600,OFF_THE_SHELF,RVX1_600_07X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_07X.step.STEP
600,OFF_THE_SHELF,RVX1_600_11X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_11X.step.STEP
600,OFF_THE_SHELF,RVX1_600_15X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_15X.step.STEP
600,OFF_THE_SHELF,RVX1_600_16X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_16X.step.STEP
600,OFF_THE_SHELF,RVX1_600_19X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_19X.step.STEP
600,OFF_THE_SHELF,RVX1_600_20X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_20X.step.STEP
600,OFF_THE_SHELF,RVX1_600_21X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_21X.step.STEP
600,OFF_THE_SHELF,RVX1_600_22X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_22X.step.STEP
600,OFF_THE_SHELF,RVX1_600_27X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_27X.step.STEP
600,OFF_THE_SHELF,RVX1_600_28X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_28X.step.STEP
600,OFF_THE_SHELF,RVX1_600_29X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_29X.step.STEP
600,OFF_THE_SHELF,RVX1_600_30X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_30X.step.STEP
600,OFF_THE_SHELF,RVX1_600_31X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_31X.step.STEP
600,OFF_THE_SHELF,RVX1_600_32X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_32X.STEP
600,OFF_THE_SHELF,RVX1_600_33X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_33X.STEP
600,OFF_THE_SHELF,RVX1_600_34X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_34X.STEP
600,OFF_THE_SHELF,RVX1_600_35X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_35X.STEP
600,OFF_THE_SHELF,RVX1_600_41X,mechanical/RVX1/600/FABRICATION/OFF_THE_SHELF/RVX1_600_41X.STEP
700,SML_316L,RVX1_700_01B,mechanical/RVX1/700/FABRICATION/SML_316L/RVX1_700_01B.STEP
700,SML_316L,RVX1_700_02B,mechanical/RVX1/700/FABRICATION/SML_316L/RVX1_700_02B.STEP
700,MJF_PA12,RVX1_700_03C,mechanical/RVX1/700/FABRICATION/MJF_PA12/RVX1_700_03C.STEP
700,MJF_PA12,RVX1_700_04C,mechanical/RVX1/700/FABRICATION/MJF_PA12/RVX1_700_04C.STEP
700,MJF_PA12,RVX1_700_05C,mechanical/RVX1/700/FABRICATION/MJF_PA12/RVX1_700_05C.STEP
700,MJF_PA12,RVX1_700_06C,mechanical/RVX1/700/FABRICATION/MJF_PA12/RVX1_700_06C.STEP
700,MJF_PA12,RVX1_700_07C,mechanical/RVX1/700/FABRICATION/MJF_PA12/RVX1_700_07C.STEP
700,MJF_PA12,RVX1_700_11C,mechanical/RVX1/700/FABRICATION/MJF_PA12/RVX1_700_11C.STEP
700,OFF_THE_SHELF,RVX1_700_08X,mechanical/RVX1/700/FABRICATION/OFF_THE_SHELF/RVX1_700_08X.STEP
700,OFF_THE_SHELF,RVX1_700_09X,mechanical/RVX1/700/FABRICATION/OFF_THE_SHELF/RVX1_700_09X.STEP
700,OFF_THE_SHELF,RVX1_700_10X,mechanical/RVX1/700/FABRICATION/OFF_THE_SHELF/RVX1_700_10X.STEP
700,OFF_THE_SHELF,RVX1_700_12X,mechanical/RVX1/700/FABRICATION/OFF_THE_SHELF/RVX1_700_12X.STEP
700,OFF_THE_SHELF,RVX1_700_13X,mechanical/RVX1/700/FABRICATION/OFF_THE_SHELF/RVX1_700_13X.STEP
